product_id,product_name,category,unit_cost,unit_price,weight_lbs,is_taxable,sku
PRD-0001,Sharable Bifurcated Algorithm,Sports,9.88,16.36,5.66,1,0Y6DPBHS
PRD-0002,User-Centric Even-Keeled Encryption,Electronics,43.77,92.63,13.67,1,HV3A3ZMF
PRD-0003,Face-To-Face Client-Driven Support,Beauty,70.64,105.82,2.51,1,4V30T9NT
PRD-0004,Customer-Focused Systematic Support,Toys,125.61,315.28,14.48,1,ZBIKCIDK
PRD-0005,Quality-Focused Background Parallelism,Sports,76.14,133.48,5.32,1,J7XVG0FN
PRD-0006,Optimized 5Thgeneration Algorithm,Beauty,129.8,257.0,17.15,1,41IBLJH7
PRD-0007,Cross-Group Didactic Emulation,Office Supplies,66.36,141.01,9.95,1,6QJIUJV6
PRD-0008,Profit-Focused Real-Time Algorithm,Clothing,47.77,136.15,12.79,1,DBDW2PCN
PRD-0009,Realigned Dedicated Structure,Beauty,108.18,300.4,21.53,1,AZYTJXEP
PRD-0010,Streamlined Tangible Moratorium,Clothing,190.99,485.42,6.66,1,SG65KXVF
PRD-0011,Operative Directional Knowledge User,Toys,110.18,257.74,13.31,1,ALA753LC
PRD-0012,Reverse-Engineered Even-Keeled Workforce,Office Supplies,189.66,283.07,12.2,1,C11ERTJ5
PRD-0013,Adaptive Well-Modulated Workforce,Clothing,46.3,90.56,18.28,1,HL9XPSEI
PRD-0014,Diverse Tangible Interface,Home & Garden,119.72,193.27,5.58,1,CWI64CIY
PRD-0015,Mandatory Even-Keeled Collaboration,Home & Garden,30.8,82.67,14.32,1,R23GDPPQ
PRD-0016,Extended Well-Modulated Graphical User Interface,Books,136.31,383.39,2.55,0,OM5IGQPK
PRD-0017,Customer-Focused Background Implementation,Home & Garden,185.04,339.58,21.55,1,TB94874F
PRD-0018,Cross-Platform Heuristic Hardware,Clothing,46.68,83.41,1.56,1,N9J2QP89
PRD-0019,Robust Empowering Workforce,Sports,145.09,224.66,7.49,1,8UT0CVS4
PRD-0020,Balanced Upward-Trending Knowledgebase,Electronics,192.35,286.25,4.73,1,VYIE6IVW
PRD-0021,Public-Key Bottom-Line Implementation,Clothing,118.82,229.81,23.37,1,HZIOYKL1
PRD-0022,Configurable Neutral Frame,Electronics,94.37,269.21,24.9,1,CHJ755NF
PRD-0023,Self-Enabling Regional Hierarchy,Toys,142.19,292.62,24.68,1,XA3KX7EE
PRD-0024,Re-Engineered Content-Based Strategy,Electronics,112.88,186.68,15.16,1,ZHWJR64D
PRD-0025,Cloned 6Thgeneration Protocol,Clothing,58.95,84.36,19.3,1,WJ0TPAC5
PRD-0026,Focused Zero Administration Frame,Office Supplies,111.39,273.09,14.6,1,FEL6246H
PRD-0027,Configurable Discrete Attitude,Home & Garden,25.04,58.65,22.11,1,OWF75935
PRD-0028,Multi-Tiered Even-Keeled Knowledgebase,Electronics,148.63,254.62,23.28,1,253J2D54
PRD-0029,Sharable High-Level Complexity,Home & Garden,164.23,304.75,7.7,1,2IAGL58K
PRD-0030,Multi-Layered Heuristic Database,Sports,82.94,232.59,13.45,1,7E8G8JDP
PRD-0031,Synchronized Encompassing Standardization,Books,66.17,135.64,12.83,0,NUJZA7TZ
PRD-0032,Synergized Secondary Archive,Books,135.77,237.14,1.84,0,XLL4ZKLO
PRD-0033,Robust Scalable Concept,Clothing,62.65,95.58,10.57,1,7Y6WKTAK
PRD-0034,Public-Key Upward-Trending Encryption,Clothing,118.1,250.82,11.68,1,PHR62GDS
PRD-0035,Diverse Maximized Implementation,Sports,70.36,170.14,18.8,1,YIHAIR4C
PRD-0036,Future-Proofed Scalable Solution,Clothing,127.8,202.23,17.44,1,RIXA11DP
PRD-0037,Realigned Directional Software,Electronics,191.8,369.76,1.35,1,I4Q2Y9V8
PRD-0038,Inverse Zero Administration Time-Frame,Office Supplies,124.47,277.68,12.67,1,3T60RJIW
PRD-0039,Centralized Discrete Alliance,Toys,106.65,221.89,6.94,1,CKJLTEIY
PRD-0040,Intuitive Impactful Flexibility,Books,17.52,31.44,13.61,0,OHP6VZ41
PRD-0041,Cloned Didactic Open System,Clothing,6.15,10.66,18.86,1,48P0TVHH
PRD-0042,Universal Foreground Data-Warehouse,Clothing,10.66,18.3,17.01,1,OFQEWAOU
PRD-0043,Streamlined Modular Infrastructure,Electronics,130.34,199.75,11.6,1,BNHL1N13
PRD-0044,Stand-Alone Logistical Circuit,Home & Garden,20.97,30.25,13.53,1,9MX2X18H
PRD-0045,Fundamental Client-Driven Encryption,Electronics,34.71,52.93,16.77,1,UHZ1GV0E
PRD-0046,User-Friendly Next Generation Monitoring,Toys,193.12,291.65,0.74,1,LY8OZCYW
PRD-0047,Fundamental Value-Added Paradigm,Electronics,155.63,386.76,15.05,1,E92MPNSM
PRD-0048,Optimized Optimal Initiative,Toys,165.35,249.37,24.02,1,W3ZP08J3
PRD-0049,Multi-Lateral Directional Challenge,Sports,99.28,181.32,18.3,1,J43D5IQV
PRD-0050,Profound Modular Array,Clothing,10.6,26.36,4.63,1,H2M5ZJA8
PRD-0051,Versatile Actuating Budgetary Management,Electronics,145.41,274.88,18.98,1,YXR2DHYL
PRD-0052,Distributed Responsive Complexity,Sports,97.29,189.21,10.7,1,0LZJJEGE
PRD-0053,Synergized Interactive Policy,Sports,153.63,241.86,5.49,1,R09SKDGI
PRD-0054,Cloned Human-Resource Implementation,Electronics,7.76,15.13,6.93,1,9TZE5R5U
PRD-0055,Right-Sized Maximized Moderator,Clothing,90.89,143.03,1.38,1,7R3OCWBF
PRD-0056,Function-Based Neutral Access,Sports,64.25,182.46,3.05,1,1V2ISQP4
PRD-0057,Synergized Uniform Budgetary Management,Beauty,64.55,133.74,15.28,1,08HHXFGC
PRD-0058,Synergized National System Engine,Electronics,92.85,188.66,7.35,1,IZZQY72W
PRD-0059,Future-Proofed Zero Administration Project,Books,187.07,339.39,13.66,0,X63CFL0U
PRD-0060,Mandatory Bifurcated Frame,Home & Garden,29.25,63.73,17.52,1,7SRCBPLJ
PRD-0061,Optional Cohesive Knowledgebase,Electronics,192.57,472.66,14.42,1,89YJB1QX
PRD-0062,Adaptive Uniform Success,Office Supplies,40.39,81.57,15.91,1,RDMLY4LY
PRD-0063,Fundamental Motivating Task-Force,Home & Garden,189.31,455.89,13.8,1,QLL8OS9X
PRD-0064,Enhanced Motivating Benchmark,Sports,85.58,134.91,9.11,1,1W1HT7PZ
PRD-0065,Self-Enabling Exuding Productivity,Electronics,194.76,400.0,6.06,1,FTTD96QE
PRD-0066,Profit-Focused Real-Time Customer Loyalty,Toys,102.18,227.48,12.77,1,J49ITN7S
PRD-0067,Distributed Holistic Task-Force,Office Supplies,173.49,287.56,19.77,1,O7S3KKV9
PRD-0068,Diverse Needs-Based Time-Frame,Clothing,33.98,66.43,8.69,1,TTQLGZUI
PRD-0069,Progressive 24Hour Policy,Toys,13.51,30.75,17.66,1,3NX39RBS
PRD-0070,Inverse Mobile Adapter,Sports,174.59,443.08,11.06,1,SQ0OXFQ8
PRD-0071,Customizable High-Level Workforce,Home & Garden,140.08,296.43,21.31,1,44NLZ15B
PRD-0072,Integrated Disintermediate Approach,Electronics,128.08,339.13,24.94,1,0PDW5PY6
PRD-0073,Front-Line Non-Volatile Artificial Intelligence,Electronics,160.25,268.28,9.43,1,FTU2GC5W
PRD-0074,Configurable Upward-Trending Matrix,Home & Garden,183.0,281.58,11.58,1,JJA26YFP
PRD-0075,Cloned Well-Modulated Monitoring,Home & Garden,119.58,251.02,10.67,1,J4HNRIUU
PRD-0076,Visionary Clear-Thinking Capacity,Beauty,62.57,174.91,16.49,1,JUY0BVR6
PRD-0077,Switchable Methodical Neural-Net,Home & Garden,160.78,329.79,8.87,1,WWYZX4W6
PRD-0078,Down-Sized Empowering Moderator,Sports,65.24,119.55,14.53,1,0DK0GET8
PRD-0079,Robust Interactive Data-Warehouse,Sports,183.13,447.38,6.5,1,3R30ME8F
PRD-0080,Quality-Focused Web-Enabled Superstructure,Beauty,172.73,386.83,24.5,1,82N2ATQY
